V alpha_deg Tr h feas
5.500 2.00 39.3 -15.717 0
5.500 2.00 49.2 -5.890 0
5.500 2.00 59.0 3.938 0
5.500 2.00 68.8 13.765 1
5.500 2.00 78.7 23.592 1
5.500 2.00 88.5 33.420 1
5.500 2.00 98.3 43.247 1
5.500 2.00 108.2 53.075 1
5.500 2.00 118.0 62.902 1
5.500 3.00 0.0 -54.584 0
5.500 3.00 9.8 -44.764 0
5.500 3.00 19.7 -34.944 0
5.500 3.00 29.5 -25.125 0
5.500 3.00 39.3 -15.305 0
5.500 3.00 49.2 -5.485 0
5.500 3.00 59.0 4.335 0
5.500 3.00 68.8 14.155 1
5.500 3.00 78.7 23.975 1
5.500 3.00 88.5 33.795 1
5.500 3.00 98.3 43.614 1
5.500 3.00 108.2 53.434 1
5.500 3.00 118.0 63.254 1
5.500 4.00 0.0 -54.142 0
5.500 4.00 9.8 -44.333 0
5.500 4.00 19.7 -34.523 0
5.500 4.00 29.5 -24.714 0
5.500 4.00 39.3 -14.904 0
5.500 4.00 49.2 -5.095 0
5.500 4.00 59.0 4.714 0
5.500 4.00 68.8 14.524 1
5.500 4.00 78.7 24.333 1
5.500 4.00 88.5 34.142 1
5.500 4.00 98.3 43.952 1
5.500 4.00 108.2 53.761 1
5.500 4.00 118.0 63.571 1
5.500 5.00 0.0 -53.700 0
5.500 5.00 9.8 -43.904 0
5.500 5.00 19.7 -34.108 0
5.500 5.00 29.5 -24.312 0
5.500 5.00 39.3 -14.516 0
5.500 5.00 49.2 -4.720 0
5.500 5.00 59.0 5.076 0
5.500 5.00 68.8 14.872 0
5.500 5.00 78.7 24.667 1
5.500 5.00 88.5 34.463 1
5.500 5.00 98.3 44.259 1
5.500 5.00 108.2 54.055 1
5.500 5.00 118.0 63.851 1
6.000 -10.00 0.0 -62.628 0
6.000 -10.00 9.8 -52.944 0
6.000 -10.00 19.7 -43.260 0
6.000 -10.00 29.5 -33.576 0
6.000 -10.00 39.3 -23.892 0
6.000 -10.00 49.2 -14.208 0
6.000 -10.00 59.0 -4.524 0
6.000 -10.00 68.8 5.160 0
6.000 -10.00 78.7 14.844 1
6.000 -10.00 88.5 24.528 1
6.000 -10.00 98.3 34.212 1
6.000 -10.00 108.2 43.896 1
6.000 -10.00 118.0 53.580 1
6.000 -9.00 0.0 -61.751 0
6.000 -9.00 9.8 -52.038 0
6.000 -9.00 19.7 -42.326 0
6.000 -9.00 29.5 -32.614 0
6.000 -9.00 39.3 -22.902 0
6.000 -9.00 49.2 -13.189 0
6.000 -9.00 59.0 -3.477 0
6.000 -9.00 68.8 6.235 0
6.000 -9.00 78.7 15.947 1
6.000 -9.00 88.5 25.660 1
6.000 -9.00 98.3 35.372 1
6.000 -9.00 108.2 45.084 1
6.000 -9.00 118.0 54.796 1
6.000 -8.00 0.0 -60.874 0
6.000 -8.00 9.8 -51.136 0
6.000 -8.00 19.7 -41.399 0
6.000 -8.00 29.5 -31.661 0
6.000 -8.00 39.3 -21.923 0
6.000 -8.00 49.2 -12.186 0
6.000 -8.00 59.0 -2.448 0
6.000 -8.00 68.8 7.290 0
6.000 -8.00 78.7 17.027 1
6.000 -8.00 88.5 26.765 1
6.000 -8.00 98.3 36.503 1
6.000 -8.00 108.2 46.240 1
6.000 -8.00 118.0 55.978 1
6.000 -7.00 0.0 -59.997 0
6.000 -7.00 9.8 -50.237 0
6.000 -7.00 19.7 -40.477 0
6.000 -7.00 29.5 -30.717 0
6.000 -7.00 39.3 -20.957 0
6.000 -7.00 49.2 -11.197 0
6.000 -7.00 59.0 -1.437 0
6.000 -7.00 68.8 8.323 0
6.000 -7.00 78.7 18.083 1
6.000 -7.00 88.5 27.843 1
6.000 -7.00 98.3 37.604 1
6.000 -7.00 108.2 47.364 1
6.000 -7.00 118.0 57.124 1
6.000 -6.00 0.0 -59.120 0
6.000 -6.00 9.8 -49.340 0
6.000 -6.00 19.7 -39.561 0
6.000 -6.00 29.5 -29.781 0
6.000 -6.00 39.3 -20.002 0
6.000 -6.00 49.2 -10.223 0
6.000 -6.00 59.0 -0.443 0
6.000 -6.00 68.8 9.336 0
6.000 -6.00 78.7 19.116 1
6.000 -6.00 88.5 28.895 1
6.000 -6.00 98.3 38.675 1
6.000 -6.00 108.2 48.454 1
6.000 -6.00 118.0 58.234 1
6.000 -5.00 0.0 -58.243 0
6.000 -5.00 9.8 -48.447 0
6.000 -5.00 19.7 -38.651 0
6.000 -5.00 29.5 -28.855 0
6.000 -5.00 39.3 -19.059 0
6.000 -5.00 49.2 -9.263 0
6.000 -5.00 59.0 0.533 0
6.000 -5.00 68.8 10.328 1
6.000 -5.00 78.7 20.124 1
6.000 -5.00 88.5 29.920 1
6.000 -5.00 98.3 39.716 1
6.000 -5.00 108.2 49.512 1
6.000 -5.00 118.0 59.308 1
6.000 -4.00 0.0 -57.366 0
6.000 -4.00 9.8 -47.557 0
6.000 -4.00 19.7 -37.747 0
6.000 -4.00 29.5 -27.938 0
6.000 -4.00 39.3 -18.128 0
6.000 -4.00 49.2 -8.319 0
6.000 -4.00 59.0 1.490 0
6.000 -4.00 68.8 11.300 1
6.000 -4.00 78.7 21.109 1
6.000 -4.00 88.5 30.918 1
6.000 -4.00 98.3 40.728 1
6.000 -4.00 108.2 50.537 1
6.000 -4.00 118.0 60.347 1
6.000 -3.00 0.0 -56.489 0
6.000 -3.00 9.8 -46.669 0
6.000 -3.00 19.7 -36.849 0
6.000 -3.00 29.5 -27.029 0
6.000 -3.00 39.3 -17.210 0
6.000 -3.00 49.2 -7.390 0
6.000 -3.00 59.0 2.430 0
6.000 -3.00 68.8 12.250 1
6.000 -3.00 78.7 22.070 1
6.000 -3.00 88.5 31.890 1
